SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
CC(=O)NC[C@H](O)c1nc2ncnc(N)c2n1[C@@H]1O[C@H](CO)[C@H]2OC(C)(C)O[C@H]21,True,0.4809889870485058,408.4150000000002,-1.0121999999999984,5,166.86999999999995,4,11,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CN(C)C(=O)[C@@H]1CC[C@@H]2[C@@H]3CCC(=O)N3CC[C@@H]2N1C,True,0.7038560612057486,279.384,0.5483000000000009,1,43.86000000000001,0,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
COc1cc(OC)cc(C(O)c2ccccc2Cl)c1,True,0.9310311108644116,278.735,3.438900000000002,4,38.69,1,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1cccc2nc(-c3cn(C(C)C)c4ccccc34)[nH]c12,True,0.548643253967589,289.38200000000006,5.073920000000004,2,33.61,1,2,False,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1nc(SCC(=O)Nc2ccc(NC(=O)c3ccccc3)cc2)n(C)c(=O)c1C,True,0.469249825104708,422.51000000000016,3.380240000000001,6,93.09,2,6,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CC1(C)OC(C)(COc2ccc(C#N)cc2)C(=O)NC1=O,True,0.8427283249463338,288.30300000000005,1.1473799999999998,3,88.41999999999999,1,5,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
N#Cc1cc(-c2csc(N3CCOCC3)n2)cc(C(F)(F)F)n1,True,0.8410892427673947,340.3299999999999,2.9321800000000007,2,62.040000000000006,0,6,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1onc(-c2ccccn2)c1-c1cccc(C(=O)NCC(=O)N2CCCC3(CCCC3)CC2)c1,True,0.5636209493095665,472.58900000000045,5.014720000000004,5,88.33,1,5,False,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1ccc(Oc2c(N3C(=O)CCC3=O)ccc(Cl)c2Cl)cc1,True,0.7509345140946364,350.201,4.747520000000002,3,46.61,0,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1cc(C(=O)Nc2ccc3c(c2)CNC3=O)c2ccccc2n1,True,0.7629444093537381,317.348,3.038920000000001,2,71.09,2,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CC1(C)NC(c2ccc(C(F)(F)F)cc2)(C(F)(F)F)NC1=O,True,0.7793483664452411,326.23999999999995,2.9185000000000008,1,41.13,2,2,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
COc1ccc([C@@H]2[C@H](O)CCN2C(=O)c2ccc(C(=O)N3CCOCC3)nc2)cc1O,True,0.7543581517653686,427.4570000000002,1.2162999999999995,4,112.43,2,7,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
C[C@@H]1CN(C(=O)Cc2ccccc2Cl)[C@@H](CNC(=O)c2ccccc2)CO1,True,0.8590718054660165,386.8790000000001,2.9284000000000017,5,58.64,1,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CN(C)C(=O)c1c(C#N)[nH]c2cc(C#Cc3cccc(Cl)c3)c(O)cc12,True,0.6492051564021302,363.804,3.500180000000001,1,80.12,2,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Nc1cc(Nc2cc(-c3ccc(F)c(Cl)c3)ccc2F)nc(C(F)(F)F)n1,True,0.5761410834726409,400.73800000000006,5.419800000000002,3,63.83,2,4,False,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
O=C(Nc1ncc(Br)cn1)[C@H]1O[C@@H](C(=O)NCc2ccc(F)cc2)[C@H](O)[C@H]1O,True,0.5035819404434043,455.2400000000001,0.1222999999999997,5,133.67000000000002,4,7,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1ccc(S(=O)(=O)N(C)c2cccc(Oc3ccccc3C)c2)c([N+](=O)[O-])c1,True,0.4272633934359238,412.46700000000016,4.829040000000004,6,89.75,0,5,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
COC(=O)C[C@H]1OC(=O)[C@]2(C)[C@H]1[C@H]1C(=O)O[C@@](C)(C(=O)O)[C@@H]1[C@@H](OC(N)=O)[C@@H]2O,True,0.3603357972168238,415.3510000000001,-1.4316999999999969,4,188.75,3,10,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CCN1C=C(C(=O)OC)[C@@H]2C3COC3CC[C@@H]21,True,0.6758476187612198,237.299,1.1724,2,38.77,0,4,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CC(=O)N(C)C1Cc2ccccc2C1C1CCN(C(=O)c2ccc(C(F)(F)F)cc2)CC1,True,0.6860028317448029,444.4970000000001,4.744400000000005,3,40.620000000000005,0,2,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1cc(N2CCN(C(=O)C(c3ccccn3)C3CC3)CC2)ccc1N,True,0.8615191916767294,350.46600000000024,2.814620000000001,4,62.46,1,4,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
COc1cccc(Nc2nc(N)c3nc(O)c(-c4cccc(OC)c4)nc3n2)c1,True,0.470503470149911,390.4030000000001,3.1354000000000006,5,128.3,3,9,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1noc(C)c1C(=O)Nc1ccc(C(C)C)cc1,True,0.9134713477578426,258.321,3.6671400000000016,3,55.13,1,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1cnc2nc(Oc3ccnc(Nc4ccccc4)n3)ccc2c1,True,0.6027802222268098,329.36300000000006,4.264120000000002,4,72.82000000000001,1,6,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Cc1nc(C)c(C(=O)NC(CCC(O)C(F)(F)F)C(F)(F)F)s1,True,0.7895020563664323,364.311,3.124040000000002,5,62.22,2,4,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CC(=O)c1ncnc2c1c(-c1ccccc1)nn2CC(=O)c1cccc(Cl)c1,True,0.4763094910269629,390.83000000000015,4.232200000000003,5,77.74000000000001,0,6,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
O=C(Nc1ccc(OCc2ccccc2C(=O)O)c(Cl)c1)c1cccc(OC(F)F)c1,True,0.4779503595774036,447.82100000000014,5.470900000000003,8,84.86,2,4,False,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CC(C)(C)OC(=O)N1C[C@H]2CC[C@H]2C1,True,0.5958605885783061,197.278,2.2633,0,29.54,0,2,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
Nc1ccc(C(=O)O)cc1C(=O)Nc1ccc(C(=O)Nc2ncccc2C(=O)O)cc1,True,0.3785024279885804,420.38100000000014,2.564800000000001,6,171.71,5,6,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
COc1ccc(C(=O)N(CCc2cccc(OC)c2)Cc2cccc(F)c2)cc1,True,0.5554773329068837,393.4580000000001,4.728000000000004,8,38.77,0,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
COC(=O)C(C)=Cc1cc(OC)c2oc(C)cc2c1O,True,0.6889718143325554,276.28799999999995,3.031720000000002,3,68.9,1,5,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
NC(=O)[C@@H](c1ccccc1)N1C(=O)[C@H]2CCCC[C@H]2[C@H]1C(=O)O,True,0.8743166279180501,316.357,1.3148000000000002,4,100.7,2,3,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
CCOC(=O)c1ncn2cc(N(C)C)c(Nc3cc(OC)c(OC)c(OC)c3)nc12,True,0.5567174603496259,415.4500000000003,2.7414000000000005,8,99.45,1,10,True,1.0,SmileyLlama-8B,gradual_loosen,loosen,1.0,0.9
