SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP
C=C(C(=O)OC)[C@H]1C[C@H](c2ccc(C)cc2)[C@@](C)(O)C[C@H]2O[C@H](C(=C)C)[C@H]3[C@@H]2[C@@H](O)C[C@@]3(C(C)=O)C1,True,0.35922694951020684,496.64400000000035,4.274820000000004,5,93.06,2,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=c1c(NCCCCCNc2ccccc2[N+](=O)[O-])c(Nc2ccccc2[N+](=O)[O-])c1=O,True,0.16611508128691804,439.4280000000002,3.536900000000002,12,156.51,3,9,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(C(=O)/C=C(C)/C=C/c2cc(OC)c(OC)c(OC)c2)cc1,True,0.3882559591337592,368.4290000000001,4.563400000000004,8,53.99000000000001,0,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=c1[nH]nc(-c2ccc(F)cc2)cc1NCc1c(NCC2CCCO2)ncnc1C(F)(F)F,True,0.4592442495384122,464.4230000000002,3.5878000000000023,7,104.82000000000001,3,7,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CN(C)CCCOc1ccc2c(=O)n(C)c(=O)n(Cc3ccc(Oc4ccccc4)cc3)c2c1,True,0.35567045891647386,459.54600000000016,3.8713000000000033,9,65.7,0,7,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CCOC(=O)C(=O)C(Nc1ccccc1)C(C(=O)OCC)C(=O)OCCc1ccccc1,True,0.23174730212648542,441.4800000000003,2.5645,12,108.00000000000001,1,8,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(C)[C@H]1CC[C@H]2[C@@H]3CC[C@@]4(C(=O)O)C[C@@H](Nc5ccc([N+](=O)[O-])cn5)CC[C@@H]4[C@H]3CC[C@@H]2[C@@H]1O,True,0.39021719541376954,485.6250000000003,5.120700000000006,5,125.59,3,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(Cn2cc(C(=O)N[C@H](C)C(=O)NCc3cccnc3)c(=O)c3ccccc32)cc1,True,0.4123401328978124,470.5290000000002,2.8881000000000006,8,102.32,2,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CNc1nc(C(=O)Nc2ccc(C(=O)NCC3CCCCC3)cc2)nc2ccc(Cl)cc12,True,0.49562313303519945,451.95800000000025,4.887300000000004,6,96.01,3,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
NC(=O)[C@@H]1CCCN(c2ncc(C(=O)Nc3ccc(-c4cccnc4)c(Cl)c3)c(OCC3CC3)n2)C1,True,0.47397071600776813,506.99400000000037,3.9348000000000027,8,123.33000000000001,2,7,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CN(C)C(=O)c1ccc(C2C(=O)N(C(=O)Nc3ccc(F)cc3)C(=O)N2c2ccccc2)cc1,True,0.5891027793526992,460.4650000000001,4.269500000000003,4,90.02999999999999,1,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cccc(C(Sc2nnc(C)n2CC(=O)Nc2ccc(Cl)cc2)C(=O)NCc2ccc(Cl)cc2)c1,True,0.23793142970397305,570.5020000000002,5.690420000000004,10,98.14000000000001,2,7,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)N(Cc1ccc(N2CCN(C)CC2)cc1)Cc1cccc(-c2ccccc2S(C)(=O)=O)c1,True,0.49895233041001097,491.6570000000002,4.057600000000003,7,60.93000000000001,0,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cc(CN(C(=O)c2cccc(S(=O)(=O)NC(C)C)c2)c2ccccc2)cc(OC)c1OC,True,0.4492770519107666,498.6010000000002,4.246100000000004,10,94.17,1,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
C#CCN(CC(=O)OCC(=O)OCc1ccccc1)c1cc(-c2sc(N)nc2C)c(Cl)cn1,True,0.3630814423703547,484.9650000000002,3.475320000000001,9,107.64,1,9,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC1(C)CC(=O)C2=C(C1)N(CC1CO1)c1cccc(O)c1C2c1ccccc1Cl,True,0.7213560248427259,409.9130000000001,5.039500000000005,3,53.07000000000001,1,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=C(O)CCC(=O)OC12CC(C[C@@H](NC(=O)c3cccc(C(=O)Nc4ccc(C(F)(F)F)cc4)c3)C1)C2,True,0.44543927947054024,518.4880000000002,4.4067000000000025,8,121.79999999999998,3,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(C)C(=O)NC1c2ccccc2-c2ccc(Oc3ccc(C(=O)N[C@@H](Cc4c[nH]cn4)C(=O)O)cc3)cc21,True,0.25534693556488264,524.5770000000002,4.469700000000002,9,133.41,4,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccc(-n2ccc3cnc(NC(=O)c4sc(N[C@H](Cc5ccccc5)C(=O)O)nc4C)nc32)cc1,True,0.25388003675002707,528.5940000000003,4.554120000000002,9,131.26,3,9,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1nc(NCc2ccc(-c3cc(OC)c(OC)c(OC)c3)cc2)cc(-c2ccc(OC)c(OC)c2)n1,True,0.27776130507630753,517.5820000000002,5.474300000000006,11,93.19000000000001,1,9,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)OCCC(=O)NCC(O)COc1ccc2c(c1C)C=CC(C)(C)O2,True,0.6731103792803973,377.4370000000002,1.9883199999999999,8,94.09000000000002,2,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC1=Nc2nc3ccccc3nc2N=C2CC(CO)C=CC12,True,0.8212934035705072,292.342,2.9929000000000014,1,70.73,1,5,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC1(C)CC(O)=C2C(Cc3ccccc3C2N2CCN(Cc3ccc(Cl)cc3)CC2)C1,True,0.6383507256256816,437.02700000000027,6.0033000000000065,3,26.71,1,3,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CCOC(COC(=O)c1ccccn1)=C(C#N)C#N,True,0.45104102802043206,257.249,1.57616,5,96.0,0,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC1CCCc2[nH]c(=O)c3c(c21)N(c1ccc(C(=O)NCCNc2c[nH]c4ccc(Cl)cc24)cc1)C(=O)CC3=O,True,0.19497595021488134,558.0380000000001,5.042400000000003,6,127.16,4,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=C(CN1CCOCC1)NC(=O)[C@H]1CN(S(=O)(=O)c2ccccc2)CC12CCCC2,True,0.7365201998285473,435.54600000000033,0.8425000000000007,5,96.02000000000001,1,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cc(CCNCc2cc(OC)c(OC)c3c(-c4ccc5cc6c(cc5c4)OCO6)cccc23)cc(OC)c1OC,True,0.17150747546156037,581.6650000000002,6.764000000000007,11,76.64000000000001,1,8,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
NC(=O)[C@@H](Cc1c[nH]c2ccccc12)N[C@H]1CC[C@H](CCCCCCC(=O)N(CCCl)CCCl)CC1,True,0.1989510026836397,537.5760000000004,5.359500000000005,16,91.21999999999998,3,3,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CN(C)C(=O)C(Nc1ccc(OCc2ccccc2)cc1)c1nnc(-c2ccc(S(N)(=O)=O)cc2)o1,True,0.3518736571648929,507.57200000000023,3.2044000000000006,9,140.64999999999998,2,8,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
O=C(NCC1CCC(NC(=O)C2CCCc3ccccc32)CC1)C(=O)c1cccc(O)c1,True,0.4790989816320878,434.5360000000002,3.486200000000002,6,95.50000000000001,3,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COC(=O)C(C(=O)OC)C(c1ccccc1)c1ccccc1,True,0.6289484655017276,298.338,2.7807000000000013,5,52.60000000000001,0,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)OCC1=C(COC(C)=O)[C@@H]([C@@H](OC(C)=O)[C@H]2[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C[C@@H]2O)OC1=O,True,0.25731900245553085,572.5160000000004,-0.5577999999999959,10,204.32999999999998,1,15,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(=O)O[C@@H]1[C@@H](O)C[C@@H](C[C@@H]2C[C@@H](O)CC=C2C)[C@@H]2[C@H]3C(C)=CC(=O)[C@H]3CC[C@@]21C,True,0.5426406239213435,416.5580000000002,3.5839000000000025,3,83.83000000000001,2,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
C=C(C)[C@@H]1CC[C@@]23C(=O)C=C[C@@H]2[C@]2(C)C(=CC[C@H]3[C@@H]1C)C(C)(C)C(=O)C[C@@H]2OC(C)=O,True,0.4495887936360761,424.5810000000003,5.233400000000006,2,60.440000000000005,0,4,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
C[C@H](O)[C@H]1C(=O)C2=C(O)C(=O)C3=C[C@@H]4C(C)(C)[C@]4(C)CC[C@@H]3[C@@]2(O)[C@H]2OC(=O)[C@]12C,True,0.5555245489854295,416.47000000000025,1.6223999999999996,1,121.13,3,7,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1ccccc1CNC(=O)c1[nH]c2ccccc2c1CN1C(=O)N(C[C@@H](N)C(C)C)C(C)(C)C1=O,True,0.3836444072327028,505.61900000000037,3.6326000000000027,9,120.75999999999999,3,5,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1cccc(NC(=O)c2c(CC(=O)O)[nH]c3cccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)c23)c1,True,0.342537359887359,526.355,6.280420000000002,5,82.19,3,2,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COC(=O)C1=C(C)NC(c2ccc(OC)cc2)=NC1c1cccc(OCc2cccc(C(=O)O)c2)c1,True,0.4513363605792434,486.5240000000003,4.510500000000004,8,106.45,2,7,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1cc(C(F)(F)F)cc2c(C(=O)O)c([C@H](CC(C)C)NC(=O)[C@H]3Cc4ccccc4CN3C3CCCC3)[nH]c12,True,0.30055464003972926,555.6410000000002,6.766220000000006,7,85.43,3,3,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1nc(N)ncc1Cn1nc(C)c2nc(-c3cccc(-c4ccccc4)c3)nc(N)c21,True,0.45186191436073503,422.49600000000015,3.779840000000002,4,121.42,2,8,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CCC1CCCCC1)C(C)C)C(N)=O,True,0.18546860320897224,640.8700000000001,2.5497000000000036,16,176.72000000000003,5,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COc1cc(C)ccc1[C@H]1CC/C(=C/C=C\CCCCCC(=O)OCCCOc2ccccc2C)C(=O)O1,True,0.14982639007927395,520.6660000000004,7.135540000000009,14,71.06,0,6,False,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
COCC(=O)Nc1nc2ccccc2n(CC(O)C2CCN(Cc3cnc(OC)nc3OC)CC2)c1=O,True,0.4050479087653694,512.5670000000005,1.0617,10,140.93,2,11,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
Cc1noc(C)c1CNC(=O)c1cc2c(c3nc(C(=O)N[C@@H](C(N)=O)C4CCCCC4)ccc13)CCCC2,True,0.4352996728822163,517.6300000000005,3.8124400000000023,7,140.21,3,6,True,1.0,SmileyLlama-8B,mw_logp_rotb,loose,1.0,0.9
